pydev debugger: New process is launching (breakpoints won't work in the new process).
pydev debugger: To debug that process please enable 'Attach to subprocess automatically while debugging?' option in the debugger settings.


DevTools listening on ws://127.0.0.1:61586/devtools/browser/2c42396f-c9b6-42af-819e-87e79cf833e9
获取: 虚拟机器人课程,level=4,url=https://www.youngmaker.com//home/courses/catalog/id/180/classroomid/61/ccid/14.html
获取:2018年深圳市信息技术同课同构公开课,level=4,url=https://www.youngmaker.com//home/courses/sort
获取: 陪孩子一起学Arduino,level=4,url=https://www.youngmaker.com//home/courses/catalog/id/1506/classroomid/684/ccid/14.html
获取: 陪孩子一起学Python,level=4,url=https://www.youngmaker.com//home/courses/catalog/id/1507/classroomid/685/ccid/14.html
获取: 趣味3D打印笔,level=4,url=https://www.youngmaker.com//home/courses/catalog/id/338/classroomid/144/ccid/14.html
获取: 小机床,level=4,url=https://www.youngmaker.com//home/courses/catalog/id/1482/classroomid/65/ccid/14.html
获取:2,level=4,url=https://www.youngmaker.com//home/courses/curriculum/p/2.html
获取:课程,level=4,url=https://www.youngmaker.com//Home/Courses/curriculum
获取:全部,level=4,url=https://www.youngmaker.com//home/courses/curriculum.html
获取:Scratch编程,level=4,url=https://www.youngmaker.com//home/courses/curriculum/id/1.html
获取:机器人,level=4,url=https://www.youngmaker.com//home/courses/curriculum/id/2.html
获取:木工,level=4,url=https://www.youngmaker.com//home/courses/curriculum/id/4.html
获取:3D打印笔,level=4,url=https://www.youngmaker.com//home/courses/curriculum/id/3.html
获取:虚拟机器人,level=4,url=https://www.youngmaker.com//home/courses/curriculum/id/5.html
获取:小机床,level=4,url=https://www.youngmaker.com//home/courses/curriculum/id/7.html
获取:信息技术,level=4,url=https://www.youngmaker.com//home/courses/curriculum/id/9.html
获取: Scratch编程学习2018,level=4,url=https://www.youngmaker.com//home/courses/catalog/id/292/classroomid/29/ccid/14.html
获取: Scratch竞赛指导视频,level=4,url=https://www.youngmaker.com//home/courses/catalog/id/177/classroomid/162/ccid/14.html
获取: 陪孩子一起学Arduino,level=4,url=https://www.youngmaker.com//home/courses/catalog/id/1506/classroomid/684/ccid/14.html
获取: 陪孩子一起学Python,level=4,url=https://www.youngmaker.com//home/courses/catalog/id/1507/classroomid/685/ccid/14.html
获取:课程,level=4,url=https://www.youngmaker.com//Home/Courses/curriculum
获取:全部,level=4,url=https://www.youngmaker.com//home/courses/curriculum.html
获取:Scratch编程,level=4,url=https://www.youngmaker.com//home/courses/curriculum/id/1.html
获取:机器人,level=4,url=https://www.youngmaker.com//home/courses/curriculum/id/2.html
获取:木工,level=4,url=https://www.youngmaker.com//home/courses/curriculum/id/4.html
获取:3D打印笔,level=4,url=https://www.youngmaker.com//home/courses/curriculum/id/3.html
获取:虚拟机器人,level=4,url=https://www.youngmaker.com//home/courses/curriculum/id/5.html
